City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
6,Atuona,PF,78.8,light rain,-9.8,-139.0333,Villa Enata
7,Mitsamiouli,KM,80.94,light rain,-11.3847,43.2844,Foyer ADM
9,Rikitea,PF,78.62,scattered clouds,-23.1203,-134.9692,People ThankYou
11,Hithadhoo,MV,81.37,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
16,Hilo,US,75.79,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
17,Pochutla,MX,76.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
20,Flinders,AU,77.81,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
27,Sambava,MG,75.67,light rain,-14.2667,50.1667,Melrose
29,Sampit,ID,87.51,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
42,Kavieng,PG,83.48,moderate rain,-2.5744,150.7967,Nusa Island Retreat
43,Vaini,TO,80.69,broken clouds,-21.2,-175.2,Keleti Beach Resort
46,Salinopolis,BR,78.58,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
47,Arraial Do Cabo,BR,75.24,clear sky,-22.9661,-42.0278,Pousada Porto Praia
48,New Norfolk,AU,86.9,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
49,Port Macquarie,AU,76.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
51,Butaritari,KI,81.39,broken clouds,3.0707,172.7902,Isles Sunset Lodge
53,Avarua,CK,78.85,moderate rain,-21.2078,-159.775,Paradise Inn
56,Kununurra,AU,85.98,light rain,-15.7667,128.7333,Hotel Kununurra
58,Dingle,PH,82.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
61,Saint-Philippe,RE,81.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Faanui,PF,81.41,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,Kendari,ID,86.23,overcast clouds,-3.945,122.4989,Hotel Wixel
76,Te Anau,NZ,77.56,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
81,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
87,Bambous Virieux,MU,83.21,light rain,-20.3428,57.7575,Casa Tia Villa
105,Bengkulu,ID,83.03,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
129,Kota Bahru,MY,84.15,few clouds,6.1333,102.2386,Grand Riverview Hotel
135,Hobart,AU,87.26,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
137,Honiara,SB,87.03,scattered clouds,-9.4333,159.95,Heritage Park Hotel
141,Isangel,VU,87.91,scattered clouds,-19.55,169.2667,Tanna Lodge
144,Sulangan,PH,79.52,overcast clouds,11.1373,123.7228,Maia's Beach Resort
150,Quatre Cocos,MU,83.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
151,Cairns,AU,75.15,moderate rain,-16.9167,145.7667,Mantra Trilogy Cairns
153,Broken Hill,AU,87.53,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
154,Fare,PF,79.12,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
165,Kihei,US,78.96,few clouds,20.785,-156.4656,Maui Sunset
169,Boyolangu,ID,83.55,overcast clouds,-8.1181,111.8935,Yos ega cv
171,Alice Springs,AU,85.55,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
174,Yurimaguas,PE,75.13,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
