City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
0,Ebensee,47.8072,13.779,274.14,91,100,4.37,light snow,AT,2022-01-22 02:30:11
1,Hilo,19.7297,-155.09,297.73,79,1,1.34,clear sky,US,2022-01-22 02:30:12
2,Cape Town,-33.9258,18.4232,294.32,74,0,2.57,clear sky,ZA,2022-01-22 02:30:11
3,Avarua,-21.2078,-159.775,298.18,100,75,7.72,heavy intensity rain,CK,2022-01-22 02:30:12
4,Nalut,30.3333,10.85,281.18,44,98,3.08,overcast clouds,LY,2022-01-22 02:30:13
5,Dikson,73.5069,80.5464,263.31,96,100,2.74,overcast clouds,RU,2022-01-22 02:30:13
6,Ketchikan,55.3422,-131.6461,279.41,100,100,6.69,light rain,US,2022-01-22 02:30:13
7,Barrow,71.2906,-156.7887,245.16,69,100,7.72,haze,US,2022-01-22 02:30:13
8,Ushuaia,-54.8,-68.3,282.96,81,75,10.8,broken clouds,AR,2022-01-22 02:25:35
9,Mataura,-46.1927,168.8643,288.42,50,12,4.53,few clouds,NZ,2022-01-22 02:30:14
10,Kodiak,57.79,-152.4072,278.88,81,100,5.14,overcast clouds,US,2022-01-22 02:30:14
11,San Patricio,28.017,-97.5169,282.5,52,0,3.0,clear sky,US,2022-01-22 02:30:14
12,Hyeres,43.1167,6.1167,277.01,60,0,3.6,clear sky,FR,2022-01-22 02:30:15
13,Butaritari,3.0707,172.7902,300.59,69,84,4.98,broken clouds,KI,2022-01-22 02:30:15
14,Upernavik,72.7868,-56.1549,249.01,98,66,3.09,broken clouds,GL,2022-01-22 02:30:16
15,Kaitangata,-46.2817,169.8464,290.89,57,4,5.15,clear sky,NZ,2022-01-22 02:30:16
16,Rikitea,-23.1203,-134.9692,299.05,76,47,5.36,scattered clouds,PF,2022-01-22 02:30:17
17,Ilulissat,69.2167,-51.1,260.16,56,100,6.69,overcast clouds,GL,2022-01-22 02:30:17
18,Bengkulu,-3.8004,102.2655,301.5,67,53,1.84,broken clouds,ID,2022-01-22 02:30:17
19,Hermanus,-34.4187,19.2345,295.82,86,38,6.56,scattered clouds,ZA,2022-01-22 02:30:17
20,Talnakh,69.4865,88.3972,261.56,91,100,5.02,overcast clouds,RU,2022-01-22 02:30:18
21,East London,-33.0153,27.9116,295.42,84,47,5.69,scattered clouds,ZA,2022-01-22 02:30:18
22,Kamenka,51.3223,42.7678,266.34,98,97,3.0,overcast clouds,RU,2022-01-22 02:30:19
23,Vestmannaeyjar,63.4427,-20.2734,278.54,73,100,15.16,overcast clouds,IS,2022-01-22 02:30:19
24,Cedar Falls,42.5278,-92.4455,263.71,69,100,3.13,overcast clouds,US,2022-01-22 02:27:29
